seedling_id,soil type,treatment,replicate,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,observer,date
20.9001,open,none,1,2.17,8.2,,,,
20.9002,open,none,2,1.98,4.6,,,,
20.9003,open,none,3,2.42,8,,,,
20.9004,open,none,4,2,6,,,,
20.9005,open,none,5,2.31,5.5,,,,
20.9006,open,none,6,2.91,8.7,,,,
20.9007,open,none,7,1.71,5.6,,,,
20.9008,open,none,8,2.23,7.9,,,,
20.9009,open,none,9,2.32,5.5,,,,
20.9010,open,none,10,1.84,6.4,,,,
20.9011,open,none,11,2.03,6.2,,,,
20.9012,open,none,12,2.23,6.6,,,,
20.9013,open,leotiomycetes,1,1.75,5.2,,,,
20.9014,open,leotiomycetes,2,2.72,7.2,,,,
20.9015,open,leotiomycetes,3,2.46,8,,,,
20.9016,open,leotiomycetes,4,2.22,7.8,,,,
20.9017,open,leotiomycetes,5,2.31,7.9,,,,
20.9018,open,leotiomycetes,6,2.04,9.1,,,,
20.9019,open,leotiomycetes,7,2.54,9.2,,,,
20.9020,open,leotiomycetes,8,2.25,7,,,,
20.9021,open,leotiomycetes,9,2.07,7.6,,,,
20.9022,open,leotiomycetes,10,1.98,6.9,,,,
20.9023,open,leotiomycetes,11,2.4,8.6,,,,
20.9024,open,leotiomycetes,12,2.55,10.2,,,,
20.9025,open,leotiomycetes,13,2.12,6.2,,,,
20.9026,open,leotiomycetes,14,1.97,5.2,,,,
20.9027,open,leotiomycetes,15,2.36,7.1,,,,
20.9028,open,leotiomycetes,16,2.58,6.6,,,,
20.9029,open,leotiomycetes,17,2.12,6.9,,7,,
20.9030,open,leotiomycetes,18,1.74,5.2,,,,
20.9031,open,leotiomycetes,19,2.63,10.4,,,,
20.9032,open,leotiomycetes,20,2.01,7.7,,,,
20.9033,open,rutstroemia,1,,,,,,
20.9034,open,rutstroemia,2,2.58,9.7,,,,
20.9035,open,rutstroemia,3,1.94,6,,,,
20.9036,open,rutstroemia,4,2,6.8,,,,
20.9037,open,rutstroemia,5,2,6,,,,
20.9038,open,rutstroemia,6,2.31,6.9,,,,
20.9039,open,rutstroemia,7,2,6.2,,,,
20.9040,open,rutstroemia,8,2.2,6.2,,,,
20.9041,open,rutstroemia,9,,,,,,
20.9042,open,rutstroemia,10,2.1,6.1,,,,
20.9043,open,rutstroemia,11,1.69,6.2,,,,
20.9044,open,rutstroemia,12,1.91,7.8,,,,
20.9045,open,rutstroemia,13,2.59,7,,,,
20.9046,open,rutstroemia,14,2.3,6.5,,,,
20.9047,open,rutstroemia,15,2.19,5.7,,,,
20.9048,open,rutstroemia,16,2.36,9.1,,,,
20.9049,open,rutstroemia,17,2.13,5.5,,,,
20.9050,open,rutstroemia,18,2.21,5.7,,,,
20.9051,open,rutstroemia,19,2.46,10.5,,,,
20.9052,open,rutstroemia,20,2.14,7,,8.1,,
20.9053,open,alternaria,1,1.6,6.2,,,,
20.9054,open,alternaria,2,1.81,6.6,,,,
20.9055,open,alternaria,3,1.83,6,,,,
20.9056,open,alternaria,4,1.82,6.5,,,,
20.9057,open,alternaria,5,2.16,7,,,,
20.9058,open,alternaria,6,1.94,5.8,,,,
20.9059,open,alternaria,7,1.75,5.5,,,,
20.9060,open,alternaria,8,1.7,5.7,,,,
20.9061,open,alternaria,9,1.55,5.1,,,,
20.9062,open,alternaria,10,2.07,7.9,,,,
20.9063,open,alternaria,11,2.07,7.9,,,,
20.9064,open,alternaria,12,2.09,5.6,,,,
20.9065,open,alternaria,13,2,4.7,,,,
20.9066,open,alternaria,14,1.96,5,,,,
20.9067,open,alternaria,15,1.94,7,,,,
20.9068,open,alternaria,16,1.99,6.2,,,,
20.9069,open,alternaria,17,1.73,5.6,,,,
20.9070,open,alternaria,18,1.92,6.6,,,,
20.9071,open,alternaria,19,1.64,6.7,,,,
20.9072,open,alternaria,20,2.16,7.4,,,,
20.9073,psma,none,1,1.58,5.6,,,,
20.9074,psma,none,2,2.68,10,,,,
20.9075,psma,none,3,1.9,6.6,,7.3,,
20.9076,psma,none,4,2.54,9,,,,
20.9077,psma,none,5,2.11,8,,,,
20.9078,psma,none,6,1.55,5.3,,,,
20.9079,psma,none,7,1.49,5.6,,,,
20.9080,psma,none,8,2.13,7.6,,,,
20.9081,psma,none,9,2.22,8.2,,,,
20.9082,psma,none,10,2.09,9.1,,,,
20.9083,psma,none,11,2.62,7.4,,7.6,,
20.9084,psma,none,12,1.94,6.9,,,,
20.9085,psma,leotiomycetes,1,1.54,7.9,,,,
20.9086,psma,leotiomycetes,2,3.04,6.4,,,,
20.9087,psma,leotiomycetes,3,1.75,5.7,,,,
20.9088,psma,leotiomycetes,4,1.77,6,,6.9,,
20.9089,psma,leotiomycetes,5,2.17,6.4,,,,
20.9090,psma,leotiomycetes,6,2.18,8.5,,,,
20.9091,psma,leotiomycetes,7,2.07,8.3,,,,
20.9092,psma,leotiomycetes,8,2.63,8.1,,,,
20.9093,psma,leotiomycetes,9,2.24,9.8,,,,
20.9094,psma,leotiomycetes,10,2.12,7.9,,,,
20.9095,psma,leotiomycetes,11,2.1,7.5,,,,
20.9096,psma,leotiomycetes,12,1.95,6.9,,,,
20.9097,psma,leotiomycetes,13,2.12,8.8,,,,
20.9098,psma,leotiomycetes,14,2.28,8,,,,
20.9099,psma,leotiomycetes,15,2.32,8.9,,,,
20.9100,psma,leotiomycetes,16,2.28,6.4,,6.8,,
20.9101,psma,leotiomycetes,17,1.91,7.9,,,,
20.9102,psma,leotiomycetes,18,2.27,8.7,,,,
20.9103,psma,leotiomycetes,19,2.86,8.9,,,,
20.9104,psma,leotiomycetes,20,1.76,7.1,,,,
20.9105,psma,alternaria,13,2.34,7.4,,,,
20.9106,psma,alternaria,14,2.35,7.6,,,,
20.9107,psma,alternaria,15,2.25,9.1,,,,
20.9108,psma,alternaria,16,2.1,7.9,,8.8,,
20.9109,psma,alternaria,17,2.19,8.1,,,,
20.9110,psma,alternaria,18,1.94,5.5,,5.7,,
20.9111,psma,alternaria,19,1.78,6.1,,,,
20.9112,psma,alternaria,20,1.58,7,,7.6,,
20.9119,psma,alternaria,1,2.17,7.1,,8.6,,
20.9120,psma,alternaria,2,1.67,8.5,,,,
20.9121,psma,alternaria,3,1.82,8.3,,,,
20.9122,psma,alternaria,4,1.68,5.6,,,,
20.9123,psma,alternaria,5,2.16,10,,,,
20.9124,psma,alternaria,6,1.8,5.6,,,,
20.9125,psma,alternaria,7,1.99,7.6,,8.6,,
20.9126,psma,alternaria,8,2.08,9.6,,,,
20.9127,psma,alternaria,9,1.98,8.3,,,,
20.9128,psma,alternaria,10,1.91,9.1,,,,
20.9129,psma,alternaria,11,1.53,6.8,,,,
20.9130,psma,alternaria,12,1.64,5.8,,,,
20.9131,quch,none,1,,,,,,
20.9132,quch,none,2,,,,,,
20.9133,quch,none,3,,,,,,
20.9134,quch,none,4,2.58,10.1,,,,
20.9135,quch,none,5,2.33,8.9,,,,
20.9136,quch,none,6,2.4,9.2,,,,
20.9137,quch,none,7,2.67,9.8,,,,
20.9138,quch,none,8,2.01,5.1,,,,
20.9139,quch,none,9,2.75,10.2,,,,
20.9140,quch,none,10,1.71,7.6,,,,
20.9141,quch,none,11,1.99,6.9,,,,
20.9142,quch,none,12,1.88,7.3,,,,
20.9143,quch,none,13,2.27,9.1,,,,
20.9144,quch,none,14,2.88,6.1,,,,
20.9145,quch,none,15,2.15,10,,,,
20.9146,quch,none,16,2.75,13.2,,,,
20.9147,quch,none,17,2.13,9,,,,
20.9148,quch,leotiomycetes,1,2.24,9.2,,,,
20.9149,quch,leotiomycetes,2,2.01,6.8,,,,
20.9150,quch,leotiomycetes,3,2.02,5.8,,8.9,,
20.9151,quch,leotiomycetes,4,1.91,7.6,,,,
20.9152,quch,leotiomycetes,5,2.3,7.8,,,,
20.9153,quch,leotiomycetes,6,2.08,7.6,,,,
20.9154,quch,leotiomycetes,7,2.34,6.8,,,,
20.9155,quch,leotiomycetes,8,2.06,7.4,,,,
20.9156,quch,leotiomycetes,9,1.9,5.9,,,,
20.9157,quch,leotiomycetes,10,1.82,7,,,,
20.9158,quch,leotiomycetes,11,2.42,7.9,,,,
20.9159,quch,leotiomycetes,12,2.49,8,,,,
20.9160,quch,leotiomycetes,13,1.49,3.5,,,,
20.9161,quch,leotiomycetes,14,2.86,13.4,,,,
20.9162,quch,leotiomycetes,15,1.76,6.2,,6.5,,
20.9163,quch,leotiomycetes,16,2.61,8.8,,,,
20.9164,quch,leotiomycetes,17,2.92,8.9,,,,
20.9165,quch,leotiomycetes,18,2.43,9.4,,,,
20.9166,quch,leotiomycetes,19,2.2,8.2,,,,
20.9167,quch,leotiomycetes,20,1.95,6,,,,
20.9168,burned,none,1,3.25,11.1,,,,
20.9169,burned,none,2,2.65,8.1,,8.3,,
20.9170,burned,none,3,1.97,6.1,,,,
20.9171,burned,none,4,2.16,9.2,,,,
20.9172,burned,none,5,2.28,7,,,,
20.9173,burned,none,6,1.85,6.9,,,,
20.9174,burned,none,7,2.99,10,,,,
20.9175,burned,none,8,1.99,5.2,,,,
20.9176,burned,none,9,1.86,6.8,,,,
20.9177,burned,none,10,1.79,5.1,,,,
20.9178,burned,none,11,2.6,6.9,,7.6,,
20.9179,burned,none,12,1.85,7.1,,,,
20.9180,burned,leotiomycetes,1,1.86,6.2,,,,
20.9181,burned,leotiomycetes,2,1.32,8,,,,
20.9182,burned,leotiomycetes,3,2.12,8.8,,,,
20.9183,burned,leotiomycetes,4,1.99,6.2,,6.4,,
20.9184,burned,leotiomycetes,5,1.96,4.6,,4.9,,
20.9185,burned,leotiomycetes,6,2.27,9.1,,,,
20.9186,burned,leotiomycetes,7,1.92,5.2,,,,
20.9187,burned,leotiomycetes,8,1.98,6.2,,,,
20.9188,burned,leotiomycetes,9,1.93,6,,,,
20.9189,burned,leotiomycetes,10,1.99,5,,,,
20.9190,burned,leotiomycetes,11,2.02,5.9,,7,,
